scene_id,disaster,origin,split,n_usable,img_pre,img_post,lab_post
hurricane-florence_00000109,hurricane-florence,hold,test_id,9,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000109_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000109_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000109_post_disaster.json
hurricane-florence_00000134,hurricane-florence,hold,test_id,5,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000134_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000134_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000134_post_disaster.json
hurricane-florence_00000155,hurricane-florence,hold,test_id,12,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000155_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000155_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000155_post_disaster.json
hurricane-florence_00000162,hurricane-florence,hold,test_id,7,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000162_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000162_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000162_post_disaster.json
hurricane-florence_00000176,hurricane-florence,test,test_id,11,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000176_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000176_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000176_post_disaster.json
hurricane-florence_00000187,hurricane-florence,test,test_id,53,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000187_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000187_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000187_post_disaster.json
hurricane-florence_00000196,hurricane-florence,test,test_id,103,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000196_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000196_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000196_post_disaster.json
hurricane-florence_00000202,hurricane-florence,hold,test_id,55,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000202_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000202_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000202_post_disaster.json
hurricane-florence_00000214,hurricane-florence,hold,test_id,127,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000214_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000214_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000214_post_disaster.json
hurricane-florence_00000215,hurricane-florence,test,test_id,12,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000215_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000215_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000215_post_disaster.json
hurricane-florence_00000225,hurricane-florence,test,test_id,37,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000225_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000225_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000225_post_disaster.json
hurricane-florence_00000239,hurricane-florence,hold,test_id,6,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000239_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000239_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000239_post_disaster.json
hurricane-florence_00000240,hurricane-florence,test,test_id,13,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000240_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000240_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000240_post_disaster.json
hurricane-florence_00000243,hurricane-florence,hold,test_id,21,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000243_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000243_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000243_post_disaster.json
hurricane-florence_00000254,hurricane-florence,hold,test_id,20,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000254_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000254_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000254_post_disaster.json
hurricane-florence_00000257,hurricane-florence,hold,test_id,35,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000257_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000257_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000257_post_disaster.json
hurricane-florence_00000265,hurricane-florence,test,test_id,48,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000265_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000265_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000265_post_disaster.json
hurricane-florence_00000268,hurricane-florence,test,test_id,22,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000268_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000268_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000268_post_disaster.json
hurricane-florence_00000287,hurricane-florence,hold,test_id,6,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000287_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000287_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000287_post_disaster.json
hurricane-florence_00000299,hurricane-florence,hold,test_id,12,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000299_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000299_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000299_post_disaster.json
hurricane-florence_00000301,hurricane-florence,test,test_id,17,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000301_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000301_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000301_post_disaster.json
hurricane-florence_00000305,hurricane-florence,hold,test_id,28,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000305_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000305_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000305_post_disaster.json
hurricane-florence_00000311,hurricane-florence,hold,test_id,17,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000311_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000311_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000311_post_disaster.json
hurricane-florence_00000321,hurricane-florence,test,test_id,21,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000321_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000321_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000321_post_disaster.json
hurricane-florence_00000358,hurricane-florence,hold,test_id,26,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000358_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000358_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000358_post_disaster.json
hurricane-florence_00000377,hurricane-florence,test,test_id,83,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000377_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000377_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000377_post_disaster.json
hurricane-florence_00000400,hurricane-florence,test,test_id,10,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000400_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000400_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000400_post_disaster.json
hurricane-florence_00000402,hurricane-florence,hold,test_id,12,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000402_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000402_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000402_post_disaster.json
hurricane-florence_00000413,hurricane-florence,hold,test_id,11,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000413_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000413_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000413_post_disaster.json
hurricane-florence_00000439,hurricane-florence,hold,test_id,23,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000439_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000439_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000439_post_disaster.json
hurricane-florence_00000456,hurricane-florence,test,test_id,7,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000456_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000456_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000456_post_disaster.json
hurricane-florence_00000458,hurricane-florence,hold,test_id,36,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000458_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000458_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000458_post_disaster.json
hurricane-florence_00000479,hurricane-florence,hold,test_id,17,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000479_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000479_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000479_post_disaster.json
hurricane-florence_00000491,hurricane-florence,test,test_id,10,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000491_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000491_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000491_post_disaster.json
hurricane-florence_00000505,hurricane-florence,hold,test_id,13,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000505_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000505_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000505_post_disaster.json
hurricane-florence_00000507,hurricane-florence,test,test_id,8,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000507_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000507_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000507_post_disaster.json
hurricane-florence_00000524,hurricane-florence,hold,test_id,41,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000524_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-florence_00000524_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-florence_00000524_post_disaster.json
hurricane-florence_00000528,hurricane-florence,test,test_id,11,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000528_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000528_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000528_post_disaster.json
hurricane-florence_00000535,hurricane-florence,test,test_id,16,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000535_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-florence_00000535_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-florence_00000535_post_disaster.json
hurricane-harvey_00000005,hurricane-harvey,hold,test_id,110,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-harvey_00000005_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-harvey_00000005_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-harvey_00000005_post_disaster.json
hurricane-harvey_00000027,hurricane-harvey,hold,test_id,45,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-harvey_00000027_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-harvey_00000027_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-harvey_00000027_post_disaster.json
hurricane-harvey_00000032,hurricane-harvey,hold,test_id,14,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-harvey_00000032_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-harvey_00000032_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-harvey_00000032_post_disaster.json
hurricane-harvey_00000033,hurricane-harvey,test,test_id,25,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-harvey_00000033_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-harvey_00000033_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-harvey_00000033_post_disaster.json
hurricane-harvey_00000062,hurricane-harvey,test,test_id,21,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-harvey_00000062_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-harvey_00000062_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-harvey_00000062_post_disaster.json
hurricane-harvey_00000064,hurricane-harvey,test,test_id,9,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-harvey_00000064_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-harvey_00000064_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-harvey_00000064_post_disaster.json
hurricane-harvey_00000074,hurricane-harvey,hold,test_id,10,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-harvey_00000074_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-harvey_00000074_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-harvey_00000074_post_disaster.json
hurricane-harvey_00000078,hurricane-harvey,test,test_id,137,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-harvey_00000078_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-harvey_00000078_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-harvey_00000078_post_disaster.json
hurricane-harvey_00000087,hurricane-harvey,hold,test_id,31,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-harvey_00000087_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-harvey_00000087_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-harvey_00000087_post_disaster.json
hurricane-harvey_00000096,hurricane-harvey,test,test_id,198,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-harvey_00000096_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-harvey_00000096_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-harvey_00000096_post_disaster.json
hurricane-harvey_00000102,hurricane-harvey,hold,test_id,102,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-harvey_00000102_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\images\hurricane-harvey_00000102_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\hold\labels\hurricane-harvey_00000102_post_disaster.json
hurricane-harvey_00000112,hurricane-harvey,test,test_id,216,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-harvey_00000112_pre_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\images\hurricane-harvey_00000112_post_disaster.png,D:\UNI\DLSS\satellite-disaster-damage-mapping\data_same\xbd\test\labels\hurricane-harvey_00000112_post_disaster.json
